repo_full_name,service_family,critical_path,prophet_cloud_role,current_maturity,next_action
SocioProphet/prophet-core-contracts,core-runtime,yes,core runtime contract authority,positioned,normalize workspace/agent/compute contracts
SocioProphet/prophet-core-infra,core-runtime,yes,platform infrastructure service,positioned,define deploy target for Prophet Cloud staging
SocioProphet/prophet-core-ingest,core-runtime,yes,ingestion service,positioned,stand up ingestion API for workspace events and corpora
SocioProphet/prophet-core-ledger,evidence-ledger,yes,evidence ledger authority,positioned,make execution receipts durable and queryable
SocioProphet/prophet-core-libs,core-runtime,yes,shared runtime libraries,positioned,stabilize package interfaces for platform services
SocioProphet/prophet-core-ops-brief,core-runtime,no,ops brief service,positioned,defer until observability tranche
SocioProphet/prophet-core-policy,core-runtime,yes,core policy integration,positioned,connect policy-fabric and cybernetic governance gates
SocioProphet/prophet-core-query,core-runtime,yes,query runtime,positioned,bind to Holmes/Sherlock and workspace chat search
SocioProphet/prophet-core-scaffolder,core-runtime,no,scaffolder service,positioned,defer until developer experience tranche
SocioProphet/prophet-domain-gaia-curation-vault,gaia,no,GAIA curation vault,positioned,defer until GAIA data plane tranche
SocioProphet/prophet-domain-gaia-ontology,gaia-ontology,no,GAIA ontology support,positioned,bind after ontology-semantics baseline
SocioProphet/prophet-platform,core-runtime,yes,platform runtime host,positioned,deploy staging API and service runtime for Prophet Cloud
SocioProphet/prophet-platform-fabric-mlops-ts-suite,model-training,yes,Fabric/MLOps/model-training lane,positioned,bind to compute mesh and model governance
SocioProphet/prophet-platform-standards,workspace-standards,yes,workspace/platform standards,positioned,normalize workspace deploy and governance standards
SocioProphet/regis-entity-graph,identity-trust,yes,entity graph / identity support,positioned,bind identities to service and agent graph
SocioProphet/semantic-serdes,protocol-ontology,no,semantic serialization support,positioned,connect to ontology and TriTRPC after baseline
SocioProphet/sherlock-search,query-search,yes,search/feed service,positioned,collapse UI into SocioProphet UI and expose API to workspace
SocioProphet/slash-topics,query-search,no,topic surface/search support,positioned,defer until search-feed UI tranche
SocioProphet/smart-tree,query-search,no,tree/search support,positioned,defer until search runtime tranche
SocioProphet/socioprophet,workspace-ui,yes,canonical web UI and workroom surface,positioned,implement workspace shell with matrix/chat and service graph
SocioProphet/socioprophet-agent-standards,workspace-standards,yes,agent/workroom standards,positioned,bind agent standards to registry and workroom flow
SocioProphet/socioprophet-standards-knowledge,workspace-standards,yes,knowledge/ontology standards,positioned,bind CBEXP and ontology semantics into standards graph
SocioProphet/socioprophet-standards-storage,workspace-standards,no,standards storage,positioned,defer until standards backend tranche
SocioProphet/sociosphere,workspace-controller,yes,workspace/service control plane,validated,implement runtime APIs for service graph and build matrix
SocioProphet/sourceos-workspace,workspace-runtime,yes,SourceOS workspace integration,positioned,define local/cloud workspace bridge
SocioProphet/speechlab,labs,no,speech lab service,positioned,defer until multimodal tranche
SocioProphet/superconscious,model-training,yes,model-training/intelligence lane,positioned,bind to model governance and Fabric MLOps
SocioProphet/synapseiq,query-search,no,query/search intelligence,positioned,review after Holmes/Sherlock baseline
SocioProphet/systems-learning-loops,academy,no,learning-loop academy support,positioned,defer until academy product tranche
SocioProphet/tritrpc-notes-archive,protocol-contract,no,protocol notes archive,reference,keep reference-only; do not make runtime authority
SocioProphet/workspace-inventory,workspace-inventory,yes,canonical repo estate source,validated,keep export synchronized with service-register
SocioProphet/yang-mills,research,no,research program,positioned,keep out of Prophet Cloud critical path
SourceOS-Linux/BearBrowser,browser-surface,no,browser/search surface,positioned,defer until product shell/browser tranche
SourceOS-Linux/TurtleTerm,operator-terminal,yes,operator terminal surface,positioned,bind terminal to workspace/CLI operations
SourceOS-Linux/agent-machine,agent-machine,yes,local/cloud agent machine substrate,contract-backed,bind lifecycle to AgentPlane and compute mesh
SourceOS-Linux/agent-term,operator-terminal,no,agent terminal support,positioned,review after TurtleTerm baseline
SourceOS-Linux/bsd-proof-program,research,no,research program,positioned,keep out of Prophet Cloud critical path
SourceOS-Linux/homebrew-tap,package-distribution,no,SourceOS package distribution,positioned,defer until packaging tranche
SourceOS-Linux/nix-openclaw,package-distribution,no,Nix/OpenClaw package support,positioned,defer until packaging tranche
SourceOS-Linux/openclaw,package-distribution,no,OpenClaw package support,positioned,defer until packaging tranche
SourceOS-Linux/sourceos-boot,boot-release,yes,SourceOS boot release substrate,positioned,bind boot release evidence into platform trust chain
SourceOS-Linux/sourceos-devtools,image-build,no,SourceOS developer tools,positioned,defer until developer packaging tranche
SourceOS-Linux/sourceos-model-carry,model-carry,yes,model carry/local runtime bridge,positioned,bind model carry to model governance and agent mesh
SourceOS-Linux/sourceos-shell,local-runtime,yes,SourceOS local runtime shell,positioned,bind local runtime to workspace bridge
SourceOS-Linux/sourceos-spec,image-build,yes,SourceOS image/build specification,positioned,bind image specs to boot/release and deployment docs
SourceOS-Linux/sourceos-syncd,local-runtime,yes,local sync/provenance daemon,positioned,bind syncd to workspace storage and evidence receipts
